First_Name,Last_Name,Season,Residence,State,Age_of_Entrace,Occupation,Day_Enter,Day_Exit,Days_Stay_Total,Percentage_Stayed,HomeCity,HomeState,ForeignState
Howard,Overby,15,Hattiesburg,Mississippi,29,Youth Counselor,1,42,41,46,Hattiesburg,Mississippi,
Kaitlin,Barnaby,15,Minneapolis,Minnesota,23,Bartender,1,35,34,38,Vadnais Heights,Minnesota,
Jeremy,McGuire,15,Katy,Texas,23,Boat Shop Associate,1,28,27,30,Katy ,Texas,
Nick ,Uhas,15,New York City,New York,28,Entrepreneur,1,21,20,25,Hilliard,New York,
David,Girton,15,San Diego,California,25,Life Guard,1,13,12,13,San Diego,California,
Derrick,Levasseur,16,Providence,Rhode Island,30,Police Sergeant,1,97,96,100,Providence,Rhode Island,
Cody,Calafiore,16,Howell,New Jersey,23,Sales Account Executive,1,97,96,100,Hackensack,New Jersey,
Victoria,Rafaeli,16,Weston,Florida,22,Photographer,1,97,96,100,New York,New York,Israel
Caleb,Reynolds,16,Hopkinsville,Kentucky,26,Adventure Hunting Guide,1,90,89,93,Dallas,Texas,
Frankie,Grande,16,New York City,New York,31,YouTube Personality,1,88,87,91,Boca Raton,Florida,
Christine,Brecht,16,Tuscon,Arizona,23,Barista,1,77,76,79,Tuscon,Arizona,
Nicole,Franzel,16,Ubly,Michigan,21,Nursing Graduate,1,56,69,72,Ubly,Michigan,
,,,,,,,63,77,,,,,
Donny ,Thompson,16,Albermarle,North Carolina,42,Groundskeeper,1,70,69,72,Albermarle,North Carolina,
Zach ,Rance,16,Palm Beach,Florida,23,Unemployed,1,63,62,65,Palm Beach,Florida,
Hayden,Voss,16,Long Beach,California,21,Pedicab Driver,1,49,48,50,Malborough,Massachusetts,
Jacosta,Odom,16,Lovejoy,Georgia,33,Minister,1,49,48,50,Griffin,Georgia,
Amber ,Borzotra,16,North Hollywood,California,26,Esthetician,1,42,41,43,Knoxville,Tennessee,
Brittany,Martinez,16,Torrance ,California,29,Event Coordinator,1,35,34,35,Long Beach,California,
Devin,Shepherd,16,San Antonio,Texas,26,Motorcycle Sales Manager,1,28,27,28,Santa Barbara,California,
Paola,Shea,16,New York City,New York,27,DJ,1,21,20,21,East Hampton,Connecticut,
Joey,Van Pelt,16,Seattle ,Washington,27,Make-up Artist,1,14,13,14,Seattle ,Washington,
Steve,Moses,17,Gouverneur,New York,22,College Student,1,98,97,100,Gouvernor,New York,
Liz,Nolan,17,Miami,Florida,23,Marketing Coordinator,1,98,97,100,Miami,Florida,
Vanessa,Rousso,17,Las Vegas,Nevada,32,Poker Player,1,98,97,100,Las Vegas,Nevada,
Johnny Mac,McGuire,17,Scranton,Pennsylvania,27,Dentist,1,71,90,93,Scranton,Pennsylvania,
,,,,,,,71,91,,,,,
Austin,Matelson,17,Woodland Hills,California,30,Wrestler,1,89,88,91,Woodland Hills,California,
Julia,Nolan,17,Miami,Florida,23,Marketing Intern,43,85,42,43,Miami,Florida,
James ,Huling,17,Wichita Falls,Texas,31,Retail Associate,1,78,77,79,Sumter,South Carolina,
Meg,Maley,17,New York City,New York,25,Server,1,78,77,79,Collingswood,New Jersey,
Becky,Burgess,17,Denver,Colorado,26,Retail Manager,1,64,63,65,Denver,Colorado,
Jackie,Ibarra,17,Las Vegas,Nevada,27,Dancer,1,57,56,58,Los Angeles,California,
Shelli,Poole,17,Atlanta,Georgia,33,Interior Designer,1,57,56,58,Marietta,Georgia,
Clay,Honeycutt,17,College Station,Texas,23,College Graduate,1,50,49,51,Dickinson,Texas,
Jason,Roy,17,Swansea,Massachusetts,25,Supermarket Cashier,1,43,42,43,Fall River,Massachusetts,
Audrey,Middleton,17,Villa Rica,Georgia,25,Digital Media Consultant,1,36,35,36,Vila Rica,Georgia,
Jeff,Weldon,17,Tampa,Florida,26,Account Executive,1,29,28,29,Tampa,Florida,
Da'Vonne,Rogers,17,Inglewood,California,27,Poker Dealer,1,22,21,22,Inglewood,California,
Jace,Agolli,17,Venice Beach,California,23,Personal Trainer,1,15,14,14,Dunwoody,Georgia,
Paul,Abrahamian,18,Tarzana,California,23,Fashion Designer,1,99,98,100,Tarzana,California,
Corey,Brooks,18,Dallas,Texas,25,Baseball Coach,1,92,91,93,Dallas,Texas,
Victor,Arroyo,18,Slidell,Louisiana,25,Gym Manager,1,23,75,77,Slidell,Louisiana,
,,,,,,,37,72,,,,,
,,,,,,,72,90,,,,,
Natalie,Negrotti,18,Franklin Park,New Jersey,26,Event Coordinator,1,86,85,87,Caracas,Venezuela,Venezuela
Michelle,Meyer,18,Washington Township,Michigan,23,Nutritionist,1,79,78,80,Washington Township,Michigan,
Paulie,Calafiore,18,Howell,New Jersey,27,DJ,1,65,64,65,Howell,New Jersey,
Bridgette,Dunning,18,Ventura,California,24,Travelling Nuse,1,58,57,58,Fresno,California,
Zakiyah,Everette,18,Charlotte,North Carolina,25,Teacher,1,58,57,58,Charolette,North Carolina,
